,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
49,95,Lido Fiori,Spiaggia Lido Fiori,4.5,260,37.56608553,12.95526266,03/08/2025,Summer 2025,"2203,46",114.0,True,03/08/2025,False,False,False,0.0
50,95,Lido Fiori,Spiaggia Lido Fiori,4.5,260,37.56608553,12.95526266,30/11/2025,Autumn 2025,"2203,46",87.0,False,,False,False,False,0.0
51,168,Lungomare di Sabaudia,Spiaggia Libera-Lungomare di Sabaudia,4.1,562,0.04131036,0.13001345,06/12/2025,Winter 2025-2026,"1206,96",5594.0,True,06/12/2025,False,False,False,
52,171,Marina della Lobra - Miglio Blu - Massa Lubrense (Na),Spiaggia di San Montano,4.3,307,4.06146022,14.33898211,06/11/2025,Autumn 2025,"218,47",752.0,True,06/11/2025,False,False,False,0.0
53,171,Marina della Lobra - Miglio Blu - Massa Lubrense (Na),Spiaggia di San Montano,4.3,307,4.06146022,14.33898211,13/12/2025,Winter 2025-2026,"218,47",533.0,True,,False,False,False,0.0
54,125,Marina di Pisa,Spiaggia Marina di Pisa,4.4,478,4.3e-07,1e-07,08/06/2025,Summer 2025,0,331.0,True,08/06/2025,False,False,False,0.0
55,125,Marina di Pisa,Spiaggia Marina di Pisa,4.4,478,4.3e-07,1e-07,14/12/2025,Winter 2025-2026,"2805,53",35.0,True,13/12/2025,False,False,False,
56,110,Marinella di San Terenzo,Spiaggia della Marinella di San Terenzo,4.5,18,44.08305164,98.94803166,08/06/2025,Summer 2025,"3,04",189.0,True,08/06/2025,False,False,False,
57,143,Mondragone Spiaggia Lungomare Sinope,Spiaggia di Mondragone,4.1,704,0.00411107,0.00138876,27/09/2025,Autumn 2025,"92,03",307.0,True,,False,False,False,
58,143,Mondragone Spiaggia Lungomare Sinope,Spiaggia di Mondragone,4.1,704,0.00411107,0.00138876,13/12/2025,Winter 2025-2026,"92,03",390.0,True,,False,False,False,
59,33,Mondragone zona Fiumarella,Fiumarella(Spiaggia libera),4.2,7,41.11944311,1.38711496,20/09/2024,Autumn 2024,"102,18",1312.0,True,,False,False,False,
