,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
131,73,Scoglio Lungo,Spiaggia Scoglio Lungo,4.4,245,40.83811703,84.08904299,25/01/2025,Winter 2024-2025,"64,65",200.0,True,17/11/2024,False,True,False,
132,73,Scoglio Lungo,Spiaggia Scoglio Lungo,4.4,245,40.83811703,84.08904299,02/09/2025,Autumn 2025,"64,65",417.0,True,10/06/2025,False,False,False,
133,73,Scoglio Lungo,Spiaggia Scoglio Lungo,4.4,245,40.83811703,84.08904299,29/11/2025,Autumn 2025,"64,65",195.0,True,31/08/2025,False,False,False,
134,25,Spiaggia Calatabiano foce Alcantara,Spiaggia le rocce nere,4.3,70,37.80667816,15.25713015,15/09/2024,Autumn 2024,"70,81",1026.0,True,15/09/2024,False,True,False,
135,25,Spiaggia Calatabiano foce Alcantara,Spiaggia le rocce nere,4.3,70,37.80667816,15.25713015,05/04/2025,Spring 2025,"70,81",3781.0,True,05/04/2025,True,True,False,
136,25,Spiaggia Calatabiano foce Alcantara,Spiaggia le rocce nere,4.3,70,37.80667816,15.25713015,07/06/2025,Summer 2025,"70,81",1036.0,True,07/06/2025,True,True,False,
137,25,Spiaggia Calatabiano foce Alcantara,Spiaggia le rocce nere,4.3,70,37.80667816,15.25713015,25/10/2025,Autumn 2025,"70,81",2760.0,True,25/10/2025,True,True,False,
140,69,spiaggia Cintioni di San Vito marina,Marina Di San Vito Chietino,4.3,3144,42.31350224,14.43994045,18/05/2025,Spring 2025,"275,38",265.0,True,,False,False,False,
141,69,spiaggia Cintioni di San Vito marina,Marina Di San Vito Chietino,4.3,3144,42.31350224,14.43994045,16/11/2025,Autumn 2025,"525,56",127.0,True,24/09/2025,True,False,False,
144,135,Spiaggia delle Conchiglie,Spiaggia delle Conchiglie,4.4,404,40.71662069,17.79453099,10/08/2025,Summer 2025,"59,32",144.0,True,,False,True,False,
