Beach_Code,Original_Beach_Name,API_Beach_Name,Match_Type,rating,user_ratings_total,API_lat,API_lng,Search_lat,Search_lng,types,vicinity
69,spiaggia Cintioni di San Vito marina,Marina Di San Vito Chietino,good_match_88pts_0.66km,43,3144,4.25E+01,144457545,4231350224,1443994045,"natural_feature, establishment","Marina Di San Vito Chietino, Via Lungomare di Gualdo, Marina di San Vito"
146,Spiaggia Capo D'armi,Spiaggia del Fratino,manually_corrected,46,8,45.69949771,13.15251394,,,natural_feature,"Faro Rosso, Via, 33054 Lignano Sabbiadoro UD, Italy"
75,Spiaggia della Madonnina del Porto di Pescara,Area protetta nidificazione Fratino WWF,partial_match_31pts_0.92km,49,7,4.25E+01,142309048,4246765163,1422445714,"tourist_attraction, point_of_interest, establishment","Lungomare Papa Giovanni XXIII, Pescara"
156,Spiaggia delle Cesine,"Spiaggia de ""Le Cesine""",partial_match_34pts_0.11km,37,43,403562204,183442803,4035566177,1834540844,"tourist_attraction, point_of_interest, establishment",Vernole
135,Spiaggia delle Conchiglie,Spiaggia delle Conchiglie,closest_beach_13pts_0.19km,44,404,407157368,177925944,4071662069,1779453099,"natural_feature, establishment","Spiaggia di Torre Guaceto, Riserva Naturale Torre Guaceto, Carovigno"
130,SPIAGGIA DELLO SPIAZZO DEL CASTELLO ODESCALCHI- SANTA MARINELLA,Antemurale Porticciolo Santa Marinella,partial_match_38pts_0.18km,5,2,420338287,118713827,4203397621,1186920226,"tourist_attraction, point_of_interest, establishment","Viale Roma, 11, Santa Marinella"
80,Spiaggia del Muraglione,Spiaggia libera Viareggio,manually_corrected,42,1328,43.85478532,10.24026632,43.85592,10.23831,,"Molo Marinai D'Italia, Viareggio LU, 55049"
90,Spiaggia del Sarello,Spiaggia del Sarello,good_match_135pts_0.01km,39,123,3.81E+01,13.50478783,3810767246,1350486767,"tourist_attraction, point_of_interest, establishment",Aspra
79,Spiaggia del Seggio Area Nord,Spiaggia Libera Dog Beach,manually_corrected,45,52,43.19338763,10.53612938,43.19304,10.53628,,"57022 Castagneto Carducci, Province of Livorno, Italy"
132,Spiaggia di Briatico,Spiaggia Briatico,partial_match_34pts_0.06km,45,82,387261642,160232471,3872621131,1602392043,"tourist_attraction, point_of_interest, establishment","Briatico, Vibo Valentia, 89817"
92,Spiaggia di Capaci,Spiaggia Capaci,closest_beach_12pts_0.80km,4,378,381841807,13234756,3817969411,1322758842,"tourist_attraction, point_of_interest, establishment","Piazza XXIII Maggio, Capaci"
152,Spiaggia di Capo Suvero,Spiaggia libera Caposuvero,closest_beach_7pts_0.83km,,0,389664126,1.61E+20,3895936874,1615298152,"tourist_attraction, point_of_interest, establishment","Tirrena Inferiore, 88040 Gizzeria CZ, Italy"
160,Spiaggia di Castellammare di Stabia,Spiaggia dei Ciottoli Piatti,manually_corrected,,0,40.70894629,14.48059468,14.47893,40.70472,,"80053 Castellammare di Stabia, Metropolitan City of Naples, Italy"
45,Spiaggia di Castrocucco di Maratea,Spiaggia di Castrocucco,manually_corrected,42,343,39.93187047,15.75245193,39.92866,15.75446,,"Maratea, Province of Potenza"
65,Spiaggia di Fiorenzuola di Focara (PU),Spiaggia di Fiorenzuola di Focara,good_match_124pts_0.64km,45,873,43.95127866,12.82910129,4395084815,1282954216,"tourist_attraction, point_of_interest, establishment","61121 Pesaro, Province of Pesaro and Urbino, Italy"
159,Spiaggia di Rovigliano,Lungomare di Rovigliano,manually_corrected,35,95,40.73635923,14.46641666,4073698222,1446710587,"natural_feature, establishment","Via Solferino, 80058 Torre Annunziata NA, Italy"
155,Spiaggia di Sant'Agata,Spiaggia di S. Agata Messina,manually_corrected,45,57,38.25224,15.59494,38.24971,15.59121,,"V. Consolare Pompea, 52, 98166 Messina ME, Italy"
