Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti,next_season_trash
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,21/09/2025,Autumn 2025,"2023,12",138.0,True,21/09/2025,False,False,False,,165.0
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,18/10/2025,Autumn 2025,"2138,46",165.0,True,18/10/2025,False,False,True,1.0,97.0
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,02/11/2025,Autumn 2025,"2135,32",97.0,True,25/10/2025,False,False,True,2.0,59.0
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,09/11/2025,Autumn 2025,"2079,44",59.0,True,02/11/2025,False,False,True,1.0,154.0
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,23/11/2025,Autumn 2025,"1995,68",154.0,True,23/11/2025,False,False,False,,154.0
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,06/12/2025,Winter 2025-2026,"2227,05",154.0,True,06/12/2025,False,False,False,,124.0
68,RISERVA BORSACCHIO,Riserva Naturale del Borsacchio,4.5,649,42.705346,13.999786,21/12/2025,Winter 2025-2026,"2036,11",124.0,True,21/12/2025,False,False,False,,
60,Riserva Naturale dello Stato pineta Ramazzotti foce Bevano,Spiaggia libera di Lido di Classe,4.4,517,44.349524,12.32865,15/02/2025,Winter 2024-2025,"94,97",565.0,False,17/11/2024,True,False,False,,634.0
60,Riserva Naturale dello Stato pineta Ramazzotti foce Bevano,Spiaggia libera di Lido di Classe,4.4,517,44.349524,12.32865,11/10/2025,Autumn 2025,"44,41",634.0,False,15/02/2025,True,False,False,,909.0
60,Riserva Naturale dello Stato pineta Ramazzotti foce Bevano,Spiaggia libera di Lido di Classe,4.4,517,44.349524,12.32865,06/12/2025,Winter 2025-2026,"44,41",909.0,False,16/02/2025,True,False,True,4.0,
62,Sampieri,Spiaggia di Sampieri,4.6,2710,36.7196,14.7409,09/09/2025,Autumn 2025,"858,19",447.0,True,03/09/2025,False,False,False,0.0,
39,San Cataldo,Spiaggia di San Cataldo Terrasini,4.0,512,38.086949,13.076584,28/09/2025,Autumn 2025,"349,26",195.0,True,28/07/2025,False,False,False,,1024.0
39,San Cataldo,Spiaggia di San Cataldo Terrasini,4.0,512,38.086949,13.076584,28/12/2025,Winter 2025-2026,"349,26",1024.0,True,28/09/2025,False,False,False,,
