Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti,next_season_trash
99,Strongoli marina,Lungomare Di Strongoli Marina,4.2,432,39.2538,17.10645,12/11/2025,Autumn 2025,"533,95",40.0,False,,False,False,False,0.0,
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,12/12/2024,Winter 2024-2025,0,48.0,True,17/03/2024,False,True,False,,22.0
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,08/01/2025,Winter 2024-2025,0,22.0,True,12/12/2024,False,True,False,,21.0
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,23/01/2025,Winter 2024-2025,0,21.0,True,08/01/2025,False,True,False,,20.0
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,05/02/2025,Winter 2024-2025,0,20.0,True,23/01/2025,False,True,False,,67.0
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,27/02/2025,Winter 2024-2025,0,67.0,True,05/02/2025,False,True,False,,104.0
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,06/03/2025,Spring 2025,0,104.0,True,27/02/2025,False,True,False,,69.0
120,Tombolo della Feniglia,Feniglia,4.4,3158,42.41862,11.24465,30/12/2025,Winter 2025-2026,0,69.0,True,06/03/2025,False,True,False,,
30,trabucco,Spiaggia libera Le Dune,4.0,1541,43.98257,10.13512,10/07/2025,Summer 2025,"64,16",653.0,True,29/05/2025,False,False,False,,214.0
30,trabucco,Spiaggia libera Le Dune,4.0,1541,43.98257,10.13512,14/11/2025,Autumn 2025,"64,16",214.0,True,14/11/2025,False,False,False,0.0,
87,Vergine Maria,Spiaggia Vergine Maria,4.0,2494,38.16626,13.36852,28/06/2025,Summer 2025,"140,01",148.0,True,28/06/2025,False,True,False,,1685.0
87,Vergine Maria,Spiaggia Vergine Maria,4.0,2494,38.16626,13.36852,06/12/2025,Winter 2025-2026,"140,01",1685.0,False,28/06/2025,False,False,False,,
